Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
442,Taylor Peay\Taylor-Peay,us USA,DF,Real Salt Lake,26,1991,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
443,João Pedro\Joao-Pedro,pt POR,MF,LA Galaxy,24,1993,3,1,85,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches
444,Marquinhos Pedroso\Marquinhos-Pedroso,br BRA,DF,FC Dallas,24,1993,13,13,1170,13.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.05,0.06,0.02,0.06,Matches
445,Ronaldo Peña\Ronaldo-Pena,ve VEN,FW,Houston,20,1997,9,2,226,2.5,1,0,1,0,0,3,1,0.40,0.00,0.40,0.40,0.40,0.3,0.3,0.3,0.6,0.12,0.13,0.25,0.12,0.25,Matches
446,Cristian Penilla\Cristian-Penilla,ec ECU,FWMF,New England,26,1991,33,33,2811,31.2,12,7,11,1,1,2,1,0.38,0.22,0.61,0.35,0.58,7.7,7.0,4.9,11.9,0.25,0.16,0.41,0.22,0.38,Matches
447,Joshua Pérez\Joshua-Perez,us USA,MF,Los Angeles FC,20,1998,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
448,Michael Petrasso\Michael-Petrasso,ca CAN,DF,Montreal,22,1995,14,8,787,8.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.6,0.01,0.07,0.07,0.01,0.07,Matches
449,Demar Phillips\Demar-Phillips,jm JAM,DF,Real Salt Lake,34,1983,5,5,358,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
450,Ignacio Piatti\Ignacio-Piatti,ar ARG,FW,Montreal,32,1985,32,32,2817,31.3,16,11,12,4,4,2,0,0.51,0.35,0.86,0.38,0.73,11.3,8.3,7.1,15.3,0.36,0.23,0.59,0.26,0.49,Matches
451,Fafà Picault\Fafa-Picault,us USA,FW,Philadelphia,26,1991,29,24,2189,24.3,10,4,7,3,4,7,0,0.41,0.16,0.58,0.29,0.45,9.4,6.4,2.7,9.1,0.39,0.11,0.50,0.26,0.38,Matches
452,Samuel Piette\Samuel-Piette,ca CAN,MF,Montreal,23,1994,34,34,2998,33.3,0,3,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,1.3,1.6,0.01,0.04,0.05,0.01,0.05,Matches
453,Stefano Pinho\Stefano-Pinho,br BRA,FW,Orlando City,27,1991,23,5,608,6.8,2,0,2,0,0,0,0,0.30,0.00,0.30,0.30,0.30,2.9,2.9,0.1,3.0,0.43,0.01,0.44,0.43,0.44,Matches
454,Joao Plata\Joao-Plata,ec ECU,FW,Real Salt Lake,25,1992,25,20,1717,19.1,8,8,6,2,3,0,0,0.42,0.42,0.84,0.31,0.73,6.8,4.4,5.9,10.4,0.36,0.31,0.67,0.23,0.54,Matches
455,Andy Polo\Andy-Polo,pe PER,MFFW,Portland,23,1994,23,18,1630,18.1,1,2,1,0,0,2,0,0.06,0.11,0.17,0.06,0.17,2.2,2.2,1.5,3.7,0.12,0.08,0.20,0.12,0.20,Matches
456,Matt Polster\Matt-Polster,us USA,DF,Chicago,24,1993,3,1,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.03,0.10,0.07,0.10,Matches
457,Paxton Pomykal\Paxton-Pomykal,us USA,MFFW,FC Dallas,18,1999,6,1,127,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.16,0.16,0.00,0.16,Matches
458,Chris Pontius\Chris-Pontius,us USA,FWDF,LA Galaxy,30,1987,26,15,1490,16.6,5,6,5,0,0,3,0,0.30,0.36,0.66,0.30,0.66,2.5,2.5,2.2,4.7,0.15,0.14,0.28,0.15,0.28,Matches
459,Alvas Powell\Alvas-Powell,jm JAM,DF,Portland,23,1994,24,24,2064,22.9,2,2,2,0,0,1,0,0.09,0.09,0.17,0.09,0.17,1.7,1.7,1.1,2.9,0.08,0.05,0.13,0.08,0.13,Matches
460,Dillon Powers\Dillon-Powers,us USA,MFFW,Orlando City,26,1991,3,0,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.08,0.08,0.00,0.08,Matches
461,Jack Price\Jack-Price,eng ENG,MF,Colorado,25,1992,31,31,2748,30.5,1,2,1,0,1,9,0,0.03,0.07,0.10,0.03,0.10,1.8,1.0,2.5,3.5,0.06,0.08,0.14,0.03,0.12,Matches
462,Andrew Putna\Andrew-Putna,us USA,GK,Real Salt Lake,23,1994,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
463,Valeri Qazaishvili\Valeri-Qazaishvili,ge GEO,FWMF,San Jose,25,1993,33,31,2710,30.1,10,4,10,0,0,0,0,0.33,0.13,0.46,0.33,0.46,9.4,9.4,4.0,13.4,0.31,0.13,0.44,0.31,0.44,Matches
464,Yeferson Quintana\Yeferson-Quintana,uy URU,DF,San Jose,21,1996,13,10,791,8.8,1,0,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,0.8,0.8,0.1,0.9,0.09,0.01,0.10,0.09,0.10,Matches
465,Darwin Quintero\Darwin-Quintero,co COL,MFFW,Minnesota,30,1987,27,27,2392,26.6,11,12,10,1,1,3,0,0.41,0.45,0.87,0.38,0.83,7.4,6.6,8.8,15.5,0.28,0.33,0.61,0.25,0.58,Matches
466,Romell Quioto\Romell-Quioto,hn HON,FW,Houston,26,1991,32,25,2245,24.9,6,9,6,0,0,3,0,0.24,0.36,0.60,0.24,0.60,8.8,8.8,5.3,14.2,0.35,0.21,0.57,0.35,0.57,Matches
467,Joel Qwiberg\Joel-Qwiberg,se SWE,DF,San Jose,25,1992,5,5,374,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.04,0.04,0.00,0.04,Matches
468,Jukka Raitala\Jukka-Raitala,fi FIN,DF,Montreal,29,1988,28,25,2291,25.5,1,2,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,0.4,0.4,0.4,0.8,0.02,0.01,0.03,0.02,0.03,Matches
469,Christian Ramirez\Christian-Ramirez,us USA,FW,Los Angeles FC,26,1991,7,3,262,2.9,2,0,2,0,0,0,0,0.69,0.00,0.69,0.69,0.69,1.5,1.5,0.0,1.5,0.51,0.01,0.52,0.51,0.52,Matches
470,Christian Ramirez\Christian-Ramirez,us USA,FW,Minnesota,26,1991,20,17,1372,15.2,7,2,7,0,0,0,0,0.46,0.13,0.59,0.46,0.59,6.0,6.0,0.5,6.5,0.39,0.04,0.43,0.39,0.43,Matches
471,Rafael Ramos\Rafael-Ramos,pt POR,DF,Chicago,23,1995,3,1,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
472,Matthew Real\Matthew-Real,us USA,DF,Philadelphia,18,1999,3,3,234,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.12,0.12,0.01,0.12,Matches
473,Kristoffer Reaves\Kristoffer-Reaves,us USA,DF,FC Dallas,22,1995,2,2,167,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
474,Tommy Redding\Tommy-Redding,us USA,DF,NY Red Bulls,21,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
475,Eric Remedi\Eric-Remedi,ar ARG,MF,Atlanta,22,1995,13,12,1094,12.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,1.8,0.05,0.09,0.15,0.05,0.15,Matches
476,Yordy Reyna\Yordy-Reyna,pe PER,FWMF,Vancouver,24,1993,26,21,1871,20.8,6,9,5,1,1,9,2,0.29,0.43,0.72,0.24,0.67,6.0,5.3,6.8,12.1,0.29,0.33,0.62,0.25,0.58,Matches
477,Tosaint Ricketts\Tosaint-Ricketts,ca CAN,FWMF,Toronto FC,30,1987,18,4,611,6.8,3,0,3,0,0,1,0,0.44,0.00,0.44,0.44,0.44,4.8,4.8,0.6,5.4,0.71,0.10,0.80,0.71,0.80,Matches
478,Liam Ridgewell\Liam-Ridgewell,eng ENG,DF,Portland,33,1984,13,13,1084,12.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.01,0.02,0.03,0.01,0.03,Matches
479,Nick Rimando\Nick-Rimando,us USA,GK,Real Salt Lake,38,1979,33,33,2925,32.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
480,Alexander Ring\Alexander-Ring,fi FIN,MFDF,NYCFC,26,1991,30,29,2607,29.0,2,0,2,0,0,10,0,0.07,0.00,0.07,0.07,0.07,1.1,1.1,1.6,2.7,0.04,0.06,0.10,0.04,0.10,Matches
481,Carlos Rivas\Carlos-Rivas,co COL,FW,NY Red Bulls,23,1994,5,3,265,2.9,2,0,2,0,0,0,0,0.68,0.00,0.68,0.68,0.68,1.5,1.5,0.1,1.6,0.51,0.02,0.53,0.51,0.53,Matches
482,Jalen Robinson\Jalen-Robinson,us USA,DF,D.C. United,23,1994,5,5,345,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
483,Miles Robinson\Miles-Robinson,us USA,DF,Atlanta,20,1997,10,3,277,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08,Matches
