Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
61,Louis Béland-Goyette\Louis-Beland-Goyette,ca CAN,MF,Montreal,21,1995,6,4,293,3.3,0,1,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,Matches
62,Kharlton Belmar\Kharlton-Belmar,us USA,FWMF,Sporting KC,24,1992,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Tony Beltran\Tony-Beltran,us USA,DF,Real Salt Lake,29,1987,21,21,1818,20.2,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches
64,Joe Bendik\Joe-Bendik,us USA,GK,Orlando City,27,1989,33,33,2970,33.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Hernán Bernardello\Hernan-Bernardello,ar ARG,MF,Montreal,30,1986,22,17,1496,16.6,0,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches
66,Víctor Bernárdez\Victor-Bernardez,hn HON,DF,San Jose,34,1982,25,25,2228,24.8,0,1,0,0,0,2,2,0.00,0.04,0.04,0.00,0.04,Matches
67,Patrice Bernier\Patrice-Bernier,ca CAN,MF,Montreal,37,1979,27,20,1795,19.9,2,3,1,1,1,1,0,0.10,0.15,0.25,0.05,0.20,Matches
68,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,29,1987,26,26,2339,26.0,0,4,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
69,Vincent Bezecourt\Vincent-Bezecourt,fr FRA,MF,NY Red Bulls,23,1993,3,2,191,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Justin Bilyeu\Justin-Bilyeu,us USA,DF,NY Red Bulls,22,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,David Bingham\David-Bingham,us USA,GK,San Jose,27,1989,23,23,2070,23.0,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches
72,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,26,1991,26,25,2248,25.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,26,1990,26,26,2340,26.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Sebastián Blanco\Sebastian-Blanco,ar ARG,MF,Portland,28,1988,33,32,2776,30.8,8,4,8,0,0,6,1,0.26,0.13,0.39,0.26,0.39,Matches
75,Latif Blessing\Latif-Blessing,gh GHA,FW,Sporting KC,20,1996,25,16,1420,15.8,3,1,3,0,0,3,0,0.19,0.06,0.25,0.19,0.25,Matches
76,Mark Bloom\Mark-Bloom,us USA,DF,Atlanta,29,1987,2,2,162,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,MF,LA Galaxy,23,1994,34,29,2301,25.6,4,2,4,0,0,0,0,0.16,0.08,0.23,0.16,0.23,Matches
78,Christian Bolaños\Christian-Bolanos,cr CRC,MF,Vancouver,32,1984,21,18,1622,18.0,0,5,0,0,0,0,1,0.00,0.28,0.28,0.00,0.28,Matches
79,Deian Boldor\Deian-Boldor,ro ROU,DF,Montreal,21,1995,5,5,412,4.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
80,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,22,1994,29,28,2571,28.6,0,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches
81,Bobby Boswell\Bobby-Boswell,us USA,DF,Atlanta,33,1983,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Bobby Boswell\Bobby-Boswell,us USA,DF,D.C. United,33,1983,10,10,884,9.8,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches
83,Michael Boxall\Michael-Boxall,nz NZL,DF,Minnesota,28,1988,12,12,1080,12.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
84,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,29,1987,30,30,2700,30.0,0,2,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches
85,Frédéric Brillant\Frederic-Brillant,fr FRA,DF,NYCFC,31,1985,23,16,1529,17.0,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches
86,Brandt Bronico\Brandt-Bronico,us USA,MF,Chicago,21,1995,4,0,57,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Deshorn Brown\Deshorn-Brown,jm JAM,FW,D.C. United,26,1990,16,10,785,8.7,2,1,2,0,0,1,0,0.23,0.11,0.34,0.23,0.34,Matches
88,Will Bruin\Will-Bruin,us USA,FW,Seattle,27,1989,31,20,1824,20.3,11,2,11,0,0,1,0,0.54,0.10,0.64,0.54,0.64,Matches
89,Teal Bunbury\Teal-Bunbury,us USA,MFFW,New England,26,1990,28,13,1287,14.3,7,1,7,0,0,1,0,0.49,0.07,0.56,0.49,0.56,Matches
90,Marc Burch\Marc-Burch,us USA,DF,Minnesota,32,1984,15,14,1230,13.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Marc Burch\Marc-Burch,us USA,DF,Colorado,32,1984,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches
92,Bobby Burling\Bobby-Burling,us USA,DF,Colorado,32,1984,12,8,764,8.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Julian Büscher\Julian-Buscher,de GER,MF,D.C. United,23,1993,7,2,183,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Evan Bush\Evan-Bush,us USA,GK,Montreal,30,1986,31,31,2790,31.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
95,Víctor Cabrera\Victor-Cabrera,ar ARG,DF,Montreal,23,1993,20,18,1496,16.6,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
96,Scott Caldwell\Scott-Caldwell,us USA,MF,New England,25,1991,33,26,2191,24.3,1,2,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,Matches
97,Alexander Callens\Alexander-Callens,pe PER,DF,NYCFC,24,1992,34,34,3060,34.0,2,0,2,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches
98,Caleb Calvert\Caleb-Calvert,us USA,FW,Colorado,20,1996,12,3,405,4.5,1,0,1,0,0,2,2,0.22,0.00,0.22,0.22,0.22,Matches
99,Francisco Calvo\Francisco-Calvo,cr CRC,DF,Minnesota,24,1992,27,27,2430,27.0,2,1,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11,Matches
100,Hassoun Camara\Hassoun-Camara,sn SEN,DFMF,Montreal,32,1984,18,16,1347,15.0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,Matches
101,Miguel Camargo\Miguel-Camargo,pa PAN,FW,NYCFC,23,1993,8,2,180,2.0,1,0,1,0,0,1,0,0.50,0.00,0.50,0.50,0.50,Matches
102,Jonathan Campbell\Jonathan-Campbell,us USA,DF,Chicago,23,1993,24,8,1021,11.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
103,Reggie Cannon\Reggie-Cannon,us USA,DF,FC Dallas,18,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
104,Russell Canouse\Russell-Canouse,us USA,MF,D.C. United,21,1995,10,10,867,9.6,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
105,Andrew Carleton\Andrew-Carleton,us USA,MF,Atlanta,16,2000,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
106,Carlos Carmona\Carlos-Carmona,cl CHI,MF,Atlanta,29,1987,31,30,2683,29.8,2,1,2,0,0,8,1,0.07,0.03,0.10,0.07,0.10,Matches
107,Servando Carrasco\Servando-Carrasco,us USA,MF,Orlando City,28,1988,15,9,831,9.2,1,0,1,0,0,2,2,0.11,0.00,0.11,0.11,0.11,Matches
