Player,Min,year,PlayerName,PlayerID
Ever Alvarado\Ever-Alvarado,30,2016,Ever Alvarado,Ever-Alvarado
Fabian Herbers\Fabian-Herbers,1294,2016,Fabian Herbers,Fabian-Herbers
Fabinho\Fabinho,2514,2016,Fabinho,Fabinho
Fabián Castillo\Fabian-Castillo,1744,2016,Fabián Castillo,Fabian-Castillo
Fabián Espíndola\Fabian-Espindola,927,2016,Fabián Espíndola,Fabian-Espindola
Fanendo Adi\Fanendo-Adi,2646,2016,Fanendo Adi,Fanendo-Adi
Fatai Alashe\Fatai-Alashe,2330,2016,Fatai Alashe,Fatai-Alashe
Federico Bravo\Federico-Bravo,1105,2016,Federico Bravo,Federico-Bravo
Federico Higuaín\Federico-Higuain,1602,2016,Federico Higuaín,Federico-Higuain
Felipe\Felipe,2895,2016,Felipe,Felipe
Femi Hollinger-Janzen\Femi-Hollinger-Janzen,289,2016,Femi Hollinger-Janzen,Femi-Hollinger-Janzen
Frank Lampard\Frank-Lampard,1277,2016,Frank Lampard,Frank-Lampard
Fraser Aird\Fraser-Aird,1454,2016,Fraser Aird,Fraser-Aird
Frédéric Brillant\Frederic-Brillant,2790,2016,Frédéric Brillant,Frederic-Brillant
Gastón Sauro\Gaston-Sauro,917,2016,Gastón Sauro,Gaston-Sauro
Gbenga Arokoyo\Gbenga-Arokoyo,24,2016,Gbenga Arokoyo,Gbenga-Arokoyo
Gershon Koffie\Gershon-Koffie,1540,2016,Gershon Koffie,Gershon-Koffie
Getterson\Getterson,153,2016,Getterson,Getterson
Gideon Baah\Gideon-Baah,468,2016,Gideon Baah,Gideon-Baah
Gilberto\Gilberto,642,2016,Gilberto,Gilberto
Giles Barnes\Giles-Barnes,1804,2016,Giles Barnes,Giles-Barnes
Giovani dos Santos\Giovani-dos-Santos,2346,2016,Giovani dos Santos,Giovani-dos-Santos
Gonzalo Verón\Gonzalo-Veron,642,2016,Gonzalo Verón,Gonzalo-Veron
Graham Zusi\Graham-Zusi,1651,2016,Graham Zusi,Graham-Zusi
Gyasi Zardes\Gyasi-Zardes,1634,2016,Gyasi Zardes,Gyasi-Zardes
Hadji Barry\Hadji-Barry,294,2016,Hadji Barry,Hadji-Barry
Harrison Afful\Harrison-Afful,2561,2016,Harrison Afful,Harrison-Afful
Harrison Heath\Harrison-Heath,222,2016,Harrison Heath,Harrison-Heath
Harry Shipp\Harry-Shipp,1587,2016,Harry Shipp,Harry-Shipp
Hassoun Camara\Hassoun-Camara,2246,2016,Hassoun Camara,Hassoun-Camara
Hector Jiménez\Hector-Jimenez,1243,2016,Hector Jiménez,Hector-Jimenez
Henok Goitom\Henok-Goitom,419,2016,Henok Goitom,Henok-Goitom
Hernán Bernardello\Hernan-Bernardello,991,2016,Hernán Bernardello,Hernan-Bernardello
Hérculez Gómez\Herculez-Gomez,844,2016,Hérculez Gómez,Herculez-Gomez
Ignacio Piatti\Ignacio-Piatti,2818,2016,Ignacio Piatti,Ignacio-Piatti
Ike Opara\Ike-Opara,1547,2016,Ike Opara,Ike-Opara
Ilsinho\Ilsinho,1285,2016,Ilsinho,Ilsinho
Innocent Emeghara\Innocent-Emeghara,118,2016,Innocent Emeghara,Innocent-Emeghara
Jack Barmby\Jack-Barmby,395,2016,Jack Barmby,Jack-Barmby
Jack Harrison\Jack-Harrison,1571,2016,Jack Harrison,Jack-Harrison
Jack Jewsbury\Jack-Jewsbury,1504,2016,Jack Jewsbury,Jack-Jewsbury
